player_id,player_name,national_team,club,league,position,overall_rating,pace,shooting,passing,dribbling,defending,physical,minutes_played,goals,assists
62,Youri Tielemans,Belgium,Aston Villa,Premier League,MF,84,66,78,84,79,70,74,2800,8,8
63,Amadou Onana,Belgium,Aston Villa,Premier League,MF,82,74,68,76,77,79,84,2550,4,3
64,Arthur Theate,Belgium,Eintracht Frankfurt,Bundesliga,DF,81,72,42,70,71,81,79,2700,2,2
65,Koen Casteels,Belgium,Al Qadsiah,Saudi Pro League,GK,81,45,16,53,55,16,77,3060,0,0
66,Federico Chiesa,Italy,Liverpool,Premier League,FW,84,86,80,76,85,38,69,2100,11,7
67,Giacomo Raspadori,Italy,Napoli,Serie A,FW,82,77,81,78,82,40,67,2050,12,6
68,Nicolo Barella,Italy,Inter,Serie A,MF,87,78,79,84,86,75,79,2950,8,10
69,Lorenzo Pellegrini,Italy,Roma,Serie A,MF,84,72,77,83,82,65,74,2500,9,9
70,Sandro Tonali,Italy,Newcastle,Premier League,MF,85,74,73,83,81,79,80,2600,4,6
71,Alessandro Bastoni,Italy,Inter,Serie A,DF,87,72,47,78,79,86,79,3100,2,4
72,Gianluigi Donnarumma,Italy,PSG,Ligue 1,GK,87,48,18,55,60,17,84,3240,0,0
73,Christian Pulisic,USA,AC Milan,Serie A,FW,84,85,80,78,86,42,64,2700,16,10
74,Folarin Balogun,USA,Monaco,Ligue 1,FW,81,82,80,68,78,32,71,2300,13,3
75,Tim Weah,USA,Juventus,Serie A,FW,79,86,72,74,79,45,67,2150,7,6
76,Weston McKennie,USA,Juventus,Serie A,MF,82,75,72,77,78,73,82,2600,5,7
77,Yunus Musah,USA,AC Milan,Serie A,MF,80,79,68,76,82,69,75,2200,3,5
78,Tyler Adams,USA,Bournemouth,Premier League,MF,81,73,60,75,76,78,83,2000,2,3
79,Chris Richards,USA,Crystal Palace,Premier League,DF,79,71,38,69,68,80,78,2450,2,1
80,Matt Turner,USA,Crystal Palace,Premier League,GK,78,46,15,51,53,17,74,1800,0,0
81,Santiago Gimenez,Mexico,Feyenoord,Eredivisie,FW,83,76,84,70,77,33,78,2550,24,5
82,Hirving Lozano,Mexico,PSV,Eredivisie,FW,82,88,79,77,84,40,63,2200,11,8
83,Julian Quinones,Mexico,Club America,Liga MX,FW,81,84,80,72,80,42,74,2300,14,6
84,Edson Alvarez,Mexico,West Ham,Premier League,MF,83,68,68,78,77,82,84,2900,4,4
85,Luis Chavez,Mexico,Dynamo Moscow,Russian Premier League,MF,80,71,75,80,78,70,76,2400,6,7
86,Orbelin Pineda,Mexico,AEK Athens,Super League Greece,MF,80,78,73,79,82,62,69,2350,8,9
87,Johan Vasquez,Mexico,Genoa,Serie A,DF,79,68,37,66,70,81,77,2800,2,1
88,Guillermo Ochoa,Mexico,Salernitana,Serie A,GK,79,43,14,50,52,18,71,2400,0,0
89,Achraf Hakimi,Morocco,PSG,Ligue 1,DF,85,92,72,81,82,78,76,2950,6,8
90,Youssef En-Nesyri,Morocco,Fenerbahce,Super Lig,FW,82,78,83,65,72,34,80,2500,18,4
91,Hakim Ziyech,Morocco,Al Duhail,Qatar Stars League,FW,81,76,79,84,82,38,62,2050,9,10
92,Sofiane Boufal,Morocco,Union SG,Belgian Pro League,FW,79,82,75,79,84,40,63,1900,7,8
93,Azzedine Ounahi,Morocco,Marseille,Ligue 1,MF,79,77,70,80,82,66,68,2100,4,6
94,Sofyan Amrabat,Morocco,Fenerbahce,Super Lig,MF,81,66,64,77,74,81,83,2600,2,3
95,Nayef Aguerd,Morocco,West Ham,Premier League,DF,82,69,40,72,71,84,80,2500,2,1
96,Yassine Bounou,Morocco,Al Hilal,Saudi Pro League,GK,84,47,15,53,56,18,79,3060,0,0
97,Federico Valverde,Uruguay,Real Madrid,La Liga,MF,88,84,82,84,83,78,86,3200,12,9
98,Darwin Nunez,Uruguay,Liverpool,Premier League,FW,84,89,82,71,78,39,84,2500,18,6
99,Rodrigo Bentancur,Uruguay,Tottenham,Premier League,MF,82,73,70,79,78,78,79,2050,3,4
100,Manuel Ugarte,Uruguay,PSG,Ligue 1,MF,82,71,60,75,74,83,81,2400,2,2
101,Giorgian de Arrascaeta,Uruguay,Flamengo,Brasileirao,MF,83,74,77,83,85,55,68,2300,10,11
102,Ronald Araujo,Uruguay,Barcelona,La Liga,DF,84,78,44,69,70,85,84,2500,2,1
103,Sergio Rochet,Uruguay,Internacional,Brasileirao,GK,81,45,14,50,52,17,76,3000,0,0
104,Luka Modric,Croatia,Real Madrid,La Liga,MF,86,70,76,89,87,72,65,2100,5,9
105,Josko Gvardiol,Croatia,Manchester City,Premier League,DF,86,80,56,77,79,85,84,2900,4,3
106,Marcelo Brozovic,Croatia,Al Nassr,Saudi Pro League,MF,83,68,68,82,80,78,79,2600,4,7
107,Mateo Kovacic,Croatia,Manchester City,Premier League,MF,83,73,70,84,85,72,75,2550,3,5
108,Andrej Kramaric,Croatia,Hoffenheim,Bundesliga,FW,82,74,81,79,82,41,71,2400,16,7
109,Ivan Perisic,Croatia,Hajduk Split,HNL,FW,81,78,78,79,80,58,74,1800,8,8
110,Dominik Livakovic,Croatia,Fenerbahce,Super Lig,GK,82,45,13,49,51,16,77,3150,0,0
111,Takefusa Kubo,Japan,Real Sociedad,La Liga,FW,83,86,77,79,88,45,61,2600,14,9
112,Kaoru Mitoma,Japan,Brighton,Premier League,FW,82,87,76,77,87,43,60,2300,12,8
113,Daichi Kamada,Japan,Crystal Palace,Premier League,MF,81,73,76,81,82,63,68,2250,8,7
114,Wataru Endo,Japan,Liverpool,Premier League,MF,81,68,61,77,74,81,82,2400,3,4
115,Hidemasa Morita,Japan,Sporting CP,Primeira Liga,MF,80,71,67,78,79,74,75,2350,4,5
116,Ko Itakura,Japan,Borussia Monchengladbach,Bundesliga,DF,80,69,38,70,71,82,78,2750,2,2
117,Zion Suzuki,Japan,Parma,Serie A,GK,79,46,12,49,52,16,74,2100,0,0
